2026-06-12 01:17:31 | INFO | ecoface_lite.db.session | Database engine created for URL scheme: sqlite+aiosqlite
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing <function connect.<locals>.connector at 0x000001FC00FF1E10>
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation <function connect.<locals>.connector at 0x000001FC00FF1E10> completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001FC00DC8F40>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001FC00FF1990>, deterministic=True)
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001FC00DC8F40>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001FC00FF1990>, deterministic=True) completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001FC00DC8F40>, 'floor', 1, <built-in function floor>, deterministic=True)
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001FC00DC8F40>, 'floor', 1, <built-in function floor>, deterministic=True) completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001FC00DC8F40>)
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001FC00DC8F40>) completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001FC00F02F40>, 'PRAGMA read_uncommitted', [])
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001FC00F02F40>, 'PRAGMA read_uncommitted', []) completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001FC00F02F40>)
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001FC00F02F40>) completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001FC00F02F40>)
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001FC00F02F40>) completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001FC00DC8F40>)
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001FC00DC8F40>) completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001FC00DC8F40>)
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001FC00DC8F40>) completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001FC00F02F40>, 'PRAGMA foreign_keys=ON', [])
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001FC00F02F40>, 'PRAGMA foreign_keys=ON', []) completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001FC00F02F40>)
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001FC00F02F40>) completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001FC00DC8F40>)
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001FC00DC8F40>) completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001FC00F02F40>, 'PRAGMA journal_mode=WAL', [])
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001FC00F02F40>, 'PRAGMA journal_mode=WAL', []) completed
2026-06-12 01:17:31 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001FC00F02F40>)
2026-06-12 01:17:31 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001FC00F02F40>) completed
